"Name","DNSHostName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion","IPv4Address","Lastlogondate"
"SA-WSIFC01","SA-WSIFC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"05/12/2019 9:38:38 PM"
"SCC-WSPROPC01","SCC-WSPROPC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"27/01/2022 11:24:05 AM"
"SSC-LPSALES12","SSC-LPSALES12.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"30/03/2016 7:45:10 AM"
"DIC-WSIFC01","DIC-WSIFC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"27/11/2019 3:28:28 PM"
"DIC-WSVNGCARD01","DIC-WSVNGCARD01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"26/11/2019 3:25:42 AM"
"DIC-WSRECEPT05","DIC-WSRECEPT05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"29/11/2020 6:34:30 AM"
"SSC-LPSALES13","SSC-LPSALES13.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"29/05/2016 12:13:44 PM"
"AP-WSCIDOPR01","AP-WSCIDOPR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"12/08/2014 12:37:10 PM"
"DIC-WSITOFFICE","DIC-WSITOFFICE.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/10/2019 12:49:04 PM"
"SSC-WSISHREC01","SSC-WSISHREC01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"11/10/2020 7:57:44 AM"
"SSC-WSSALES04","SSC-WSSALES04.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"30/03/2016 3:34:39 PM"
"SSC-LPSALES14","SSC-LPSALES14.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"14/07/2016 8:44:54 AM"
"SA-SERPPSCAN","SA-SERPPSCAN.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"28/12/2022 8:28:00 AM"
"SA-WSCHFENG01","SA-WSCHFENG01.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.10.240","25/12/2022 10:29:51 AM"
"DATAGUARDSVR","DATAGUARDSVR.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"11/09/2020 1:38:01 AM"
"JUM-SERPPSCAN","JUM-SERPPSCAN.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.20.163","21/12/2022 3:32:38 AM"
"SA-WSFOCID009",,,,,,
"FOFFICE-CID","foffice-cid.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"28/08/2014 1:00:23 PM"
"SA-LPITTEST","SA-LPITTEST.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"11/10/2014 3:47:06 PM"
"SSC-LPCOST","SSC-LPCOST.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"23/10/2021 2:09:44 PM"
"AP-WSDATABKUP","AP-WSDATABKUP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"15/03/2015 3:43:39 PM"
"AP-LAPITADM002","AP-LAPITADM002.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"17/01/2018 8:09:20 AM"
"SSC-LPSALES15","SSC-LPSALES15.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"09/01/2020 6:39:40 PM"
"AP-WSRECEPT05","AP-WSRECEPT05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"24/11/2019 5:33:29 AM"
"HIEXDXB-FMC","HIEXDXB-FMC.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)","10.10.10.35","25/12/2022 7:47:31 PM"
"SSC-WSSALES05","SSC-WSSALES05.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"23/03/2016 8:51:59 AM"
"AP-LAPAITMGR01","AP-LAPAITMGR01.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)",,"14/11/2021 2:38:17 PM"
"SSC-WSSALES06","SSC-WSSALES06.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"05/06/2016 5:45:10 PM"
"SSC-LPSALES03","SSC-LPSALES03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"11/01/2021 8:51:06 AM"
"SSC-LPSALES05","SSC-LPSALES05.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"03/10/2022 9:04:02 AM"
"DIC-WSACCPAY05","DIC-WSACCPAY05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"27/09/2020 6:21:08 AM"
"LOCALADMIN-PC","LOCALADMIN-PC.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"21/01/2015 10:02:18 AM"
"SSC-LPSALES16","SSC-LPSALES16.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"09/09/2018 8:36:22 AM"
"SSC-LPSALES09","SSC-LPSALES09.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"05/07/2022 8:46:08 AM"
"SA-WSREMOTE01","SA-WSREMOTE01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"11/01/2020 6:34:50 AM"
"JUM-WSACCRC04","JUM-WSACCRC04.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"16/11/2019 12:45:13 PM"
"AP-WSREMOTE01","AP-WSREMOTE01.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)","10.10.30.198","19/12/2022 8:12:52 AM"
"SSC-LPSALES17","SSC-LPSALES17.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"23/03/2016 12:04:41 PM"
"SSC-LPSALES18","SSC-LPSALES18.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"24/03/2016 9:16:44 AM"
"FCSUNICORNSVR","FCSUNICORNSVR.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"27/08/2020 1:18:09 PM"
"JUM-WSVOICEMAIL","JUM-WSVOICEMAIL.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"19/11/2020 12:43:43 PM"
"DIC-RESAGT05",,,,,,
"DIC-WSRESAGT05","DIC-WSRESAGT05.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/07/2015 9:41:47 AM"
"SSC-LPFINDIR01","SSC-LPFINDIR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/07/2018 9:28:51 AM"
"DIC-WSRESAGT06","DIC-WSRESAGT06.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.1.151","19/12/2022 5:46:48 PM"
"DIC-WSVOICEMAIL","DIC-WSVOICEMAIL.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"14/06/2020 11:37:27 AM"
"JUM-NAS","jum-nas.hiexsp.ae",,,,,"05/08/2015 9:50:07 AM"
"SA-WSVOICEMAIL","SA-WSVOICEMAIL.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"04/01/2020 9:53:52 AM"
"jumeirah-nas","jumeirah-nas.hiexsp.ae",,,,,"20/04/2017 6:45:56 AM"
"Airport-NAS",,,,,,
"DXBSPOPERADB","DXBSPOPERADB.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"19/08/2020 9:31:09 PM"
"DXBSPOPERAAP","DXBSPOPERAAP.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"22/03/2021 3:37:51 PM"
"AP-WSVOICEMAIL","AP-WSVOICEMAIL.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/09/2015 11:55:30 AM"
"DXBSPOPERATRN","DXBSPOPERATRN.hiexsp.ae","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)",,"11/02/2020 8:01:16 PM"
"HESPDXBMICROS","HESPDXBMICROS.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)","10.10.10.34","20/12/2022 11:13:49 AM"
"DXBSPSUNSYS","DXBSPSUNSYS.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)","10.10.10.87","27/12/2022 8:20:54 AM"
"HVHOSTDIC","HVHOSTDIC.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"26/06/2019 1:54:26 PM"
"WIN-F4UP92GBM14","WIN-F4UP92GBM14.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"27/01/2016 6:27:48 PM"
"HVHOSTSAFA01","HVHOSTSAFA01.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"03/07/2019 1:59:12 AM"
"HVHOSTSAFA02","HVHOSTSAFA02.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)","10.10.10.86","23/12/2022 3:09:02 AM"
"HVHOSTJUM","HVHOSTJUM.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"03/07/2019 12:42:04 PM"
"DXBSPFILESVR","DXBSPFILESVR.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)","10.10.10.85","19/12/2022 8:21:52 AM"
"DXBSPSUNSVR","DXBSPSUNSVR.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)","10.10.10.145","27/12/2022 11:16:34 PM"
"DXBJUMRODC","DXBJUMRODC.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"17/04/2017 4:17:18 AM"
"SA-WSFOMNGR02","SA-WSFOMNGR02.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"07/04/2016 9:11:27 AM"
"JUM-WSACCIA02","JUM-WSACCIA02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"01/05/2016 10:06:51 AM"
"SA-WSFOMGR02","SA-WSFOMGR02.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)",,"25/06/2021 4:40:34 PM"
"SA-WSITOFFICE","SA-WSITOFFICE.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)","10.10.10.237","19/12/2022 8:15:19 AM"
"SA-LPCHEFENG","SA-LPCHEFENG.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"14/06/2016 9:25:06 AM"
"TEST1","TEST1.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"07/01/2017 4:02:52 PM"
"AP-LAPCE01","AP-LAPCE01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"14/09/2020 8:35:11 AM"
"SSC-LP","SSC-LP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"19/06/2016 11:19:55 AM"
"JUM-LPCE01-PC","JUM-LPCE01-PC.hiexsp.ae","Windows 7 Ultimate","Service Pack 1","6.1 (7601)",,"01/10/2017 8:18:22 AM"
"SA-WSHKSUP03","SA-WSHKSUP03.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"13/03/2017 8:34:34 PM"
"DIC-LPCHIENG01","DIC-LPCHIENG01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"04/12/2019 8:44:18 AM"
"HIEXAPWSUS-TEST","HIEXAPWSUS-TEST.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"22/04/2017 1:55:48 PM"
"JUM-WSCDR01","JUM-WSCDR01.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"11/07/2022 12:03:39 PM"
"AP-WSBCKUPPC","AP-WSBCKUPPC.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"03/05/2019 8:10:55 AM"
"SASVRPPSCAN","SASVRPPSCAN.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"01/08/2021 8:38:53 AM"
"AP-SERPPSCAN","AP-SERPPSCAN.hiexsp.ae","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)",,"28/12/2022 3:20:55 AM"
"DIC-WSTEST","DIC-WSTEST.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"10/12/2016 11:41:43 AM"
"DIC-LPHTLMGR01","DIC-LPHTLMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"06/11/2019 12:04:17 PM"
"DIC-WSACCREC04","DIC-WSACCREC04.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"20/11/2019 2:43:12 PM"
"JUM-WSACCTEST","JUM-WSACCTEST.hiexsp.ae","Windows 7 Professional",,"6.1 (7600)",,"22/12/2016 3:10:46 PM"
"JUM-WSACCICA02","JUM-WSACCICA02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/11/2019 1:10:30 AM"
"SSC-LPRDM01","SSC-LPRDM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"08/02/2017 12:51:39 PM"
"SA-LPDOR01","SA-LPDOR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"22/10/2018 3:08:17 PM"
"SSC-LPDOSM01","SSC-LPDOSM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"15/09/2019 7:22:18 PM"
"SA-WSENGTECH01","SA-WSENGTECH01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)","10.10.10.174","24/12/2022 4:09:31 AM"
"SA-LPITADMIN","SA-LPITADMIN.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"19/03/2017 12:26:32 PM"
"SSC-LPCLSTGM01","SSC-LPCLSTGM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"13/02/2020 3:28:08 PM"
"AP-LAPRDM01","AP-LAPRDM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/05/2017 9:21:53 AM"
"AP-LAPHRDM-PC","AP-LAPHRDM-PC.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"06/09/2017 3:36:06 PM"
"SSC-LPCLAREVM01","SSC-LPCLAREVM01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"07/11/2019 12:06:04 PM"
"SP-LPCHFENG01","SP-LPCHFENG01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"12/10/2020 2:13:33 PM"
"TEST-HP","TEST-HP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"04/07/2017 12:32:15 PM"
"AP-WSHKCOOR01","AP-WSHKCOOR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"12/08/2017 5:33:24 PM"
"AP-WSHKCOOR02","AP-WSHKCOOR02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"12/08/2017 7:24:26 PM"
"HVHOSTSAFA03","HVHOSTSAFA03.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"08/02/2020 2:55:35 AM"
"DXBSPOASYSSVR","DXBSPOASYSSVR.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)","10.10.10.146","19/12/2022 1:14:50 PM"
"AP-SERWSUSTEST","AP-SERWSUSTEST.hiexsp.ae","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)",,"18/10/2017 2:12:45 PM"
"HVHOSTSAFA04","HVHOSTSAFA04.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"01/10/2020 1:53:42 PM"
"DIC-WSINCAUD2","DIC-WSINCAUD2.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"07/09/2017 11:55:44 AM"
"JUM-WSFNB01","JUM-WSFNB01.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.20.184","22/12/2022 6:57:08 PM"
"SA-LPITADMIN01","SA-LPITADMIN01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"10/03/2021 10:25:58 PM"
"JUM-LPCE01","JUM-LPCE01.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)",,"11/10/2022 10:37:26 AM"
"SSC-WSREMOTE01","SSC-WSREMOTE01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"08/05/2018 7:45:37 PM"
"JUM-LPHM011","JUM-LPHM011.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"19/01/2019 11:22:42 AM"
"AP-LAPITADMIN01","AP-LAPITADMIN01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/11/2019 12:43:35 PM"
"AP-WSFOSPRVSR","AP-WSFOSPRVSR.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"20/03/2019 7:43:42 AM"
"SSC-LPSALES19",,,,,,
"SSC-WSEXSEC","SSC-WSEXSEC.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)",,"02/03/2022 8:13:37 PM"
"SP-LPDOR","SP-LPDOR.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"21/11/2018 5:12:15 PM"
"WS-SSCCHEF-PC","WS-SSCCHEF-PC.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"27/10/2019 1:55:24 PM"
"SA-LPITADMN","SA-LPITADMN.hiexsp.ae","Windows 10 Pro",,"10.0 (17134)",,"30/12/2018 8:08:17 AM"
"SP-LPDORNW-PC","SP-LPDORNW-PC.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"10/11/2019 8:38:29 AM"
"SA-WSFOMGR-PC","SA-WSFOMGR-PC.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"23/01/2020 6:16:10 PM"
"ISH-WSASPRMGR","ISH-WSASPRMGR.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.10.177","27/12/2022 8:25:39 AM"
"ISH-WSPURMGR","ISH-WSPURMGR.hiexsp.ae","Windows 10 Pro",,"10.0 (17134)",,"11/12/2019 11:03:49 AM"
"ISH-WSPUROFF","ISH-WSPUROFF.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","172.16.100.190","27/12/2022 4:58:52 PM"
"ISH-PURASSIST02","ISH-PURASSIST02.hiexsp.ae","Windows 10 Pro",,"10.0 (17134)",,"25/12/2018 6:51:10 PM"
"ISH-LPDIRIT",,,,,,
"ISH-LPDIRENG",,,,,,
"DESKTOP-MD1U55N","DESKTOP-MD1U55N.hiexsp.ae","Windows 10 Pro",,"10.0 (16299)",,"07/12/2018 3:14:31 PM"
"DESKTOP-2VKF9FP","DESKTOP-2VKF9FP.hiexsp.ae","Windows 10 Pro",,"10.0 (16299)",,"07/12/2018 3:35:07 PM"
"ISH-WSPUASSIST0","ISH-WSPUASSIST01.hiexsp.ae","Windows 10 Pro",,"10.0 (16299)",,"24/12/2018 8:49:27 AM"
"ISH-PURASSIST01","ISH-PURASSIST01.hiexsp.ae","Windows 10 Pro",,"10.0 (17134)",,"26/12/2018 10:24:42 AM"
"ISH-WSPUROFF1","ISH-WSPUROFF1.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","172.16.100.207","26/12/2022 9:12:00 AM"
"ISH-WSPURDIR","ISH-WSPURDIR.hiexsp.ae","Windows 10 Pro",,"10.0 (17134)",,"24/09/2020 6:13:01 AM"
"ISH-WSPUROFF2","ISH-WSPUROFF2.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.10.107","27/12/2022 7:17:22 PM"
"ISH-LPDOE","ISH-LPDOE.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","172.16.100.245","19/12/2022 8:51:13 AM"
"ISH-LPCOF",,,,,,
"ISH-LPDOIT","ISH-LPDOIT.hiexsp.ae","Windows 10 Pro",,"10.0 (17763)",,"02/03/2020 8:30:10 AM"
"ISH-LPCEO","ISH-LPCEO.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","172.16.100.244","26/12/2022 9:26:49 AM"
"DIC-LPHOTMGR02","DIC-LPHOTMGR02.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"14/07/2019 9:23:42 AM"
"ISH-WSID",,,,,,
"DESKTOP-L3RF57S","DESKTOP-L3RF57S.hiexsp.ae","Windows 10 Pro",,"10.0 (17134)",,"31/10/2021 1:07:07 PM"
"SSC-WSHRCOOR","SSC-WSHRCOOR.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)",,"13/10/2022 11:49:44 AM"
"ISH-LPCLFC","ISH-LPCLFC.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.10.193","22/12/2022 9:46:07 AM"
"JUM-WSBACKUP","JUM-WSBACKUP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"17/02/2019 1:10:15 PM"
"ISH-WSEXSEC01","ISH-WSEXSEC01.hiexsp.ae","Windows 10 Pro",,"10.0 (16299)",,"20/02/2019 12:48:46 PM"
"ISH-WSEXSEC","ISH-WSEXSEC.hiexsp.ae","Windows 10 Pro",,"10.0 (18363)",,"03/05/2021 2:57:49 PM"
"IT-LAPTOP","IT-Laptop.hiexsp.ae","Windows 10 Pro",,"10.0 (17763)",,"24/02/2019 11:52:18 AM"
"ASAD","Asad.hiexsp.ae","Windows 10 Pro",,"10.0 (17763)",,"27/03/2019 3:39:17 PM"
"DXBSPSVRMCAFEE","DXBSPSVRMCAFEE.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)","10.10.10.49","27/12/2022 5:19:10 AM"
"JUM-LPIT02","JUM-LPIT02.hiexsp.ae","Windows 10 Pro",,"10.0 (18363)",,"29/02/2020 10:37:23 AM"
"AP-LAPHTLMGR01","AP-LAPHTLMGR01.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"24/11/2020 1:41:37 PM"
"ISH-LPCFO","ISH-LPCFO.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","172.16.100.83","15/12/2022 12:29:55 PM"
"SSC-LPHRM","SSC-LPHRM.hiexsp.ae","Windows 10 Pro",,"10.0 (17763)",,"20/10/2019 10:39:35 AM"
"WIN-SU1MN0EMB12","WIN-SU1MN0EMB12.hiexsp.ae","Windows Server 2012 R2 Datacenter",,"6.3 (9600)",,"01/07/2019 10:33:10 AM"
"DXBSPSVROPERAAP","DXBSPSVROPERAAPPNW.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"01/07/2019 2:08:12 PM"
"HIEXPMSSVRDG01","HIEXPMSSVRDG01.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"15/01/2022 8:25:55 AM"
"HIEXPMSSVRDB01","HIEXPMSSVRDB01.hiexsp.ae","Windows Server 2012 R2 Standard",,"6.3 (9600)",,"27/06/2022 1:06:16 PM"
"SSC-LPASTFINMGR","SSC-LPASTFINMGR.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"21/01/2022 3:44:09 PM"
"AP-LAPITC01","AP-LAPITC01.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"21/08/2021 5:46:22 PM"
"SA-WSMUCHA","SA-WSMUCHA.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"20/03/2021 10:41:12 AM"
"SSC-LPREVMGR","SSC-LPREVMGR.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.10.186","22/12/2022 11:04:54 AM"
"DIC-LPHTMGR-PC","DIC-LPHTMGR-PC.hiexsp.ae","Windows 10 Pro",,"10.0 (18362)",,"29/02/2020 10:58:03 AM"
"SSC-LPCLDOS","SSC-LPCLDOS.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.1.110","24/12/2022 7:57:36 PM"
"ISH-CLHRMGR","ISH-CLHRMGR.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)","10.10.10.84","28/12/2022 9:30:56 AM"
"JUM-LPDOR01","JUM-LPDOR01.hiexsp.ae","Windows 10 Pro",,"10.0 (18363)",,"29/02/2020 12:33:32 PM"
"DIC-ITOFFICE-PC","DIC-ITOFFICE-PC.hiexsp.ae","Windows 10 Pro",,"10.0 (18363)",,"17/11/2019 8:27:07 AM"
"AP-WSCIDOPR02","AP-WSCIDOPR02.hiexsp.ae","Windows 10 Pro",,"10.0 (18363)",,"18/11/2019 3:09:10 PM"
"JUM-WSENGSPR01","JUM-WSENGSPR01.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.20.128","28/12/2022 7:29:41 AM"
"DIC-WSENGSUP","DIC-WSENGSUP.hiexsp.ae","Windows 10 Pro",,"10.0 (19045)","10.10.1.111","26/12/2022 7:10:00 AM"
"AP-WSHKSSUP02","AP-WSHKSSUP02.hiexsp.ae","Windows 10 Pro",,"10.0 (19044)","10.10.30.189","19/12/2022 9:02:25 AM"
"JUM-WSACCAR01","JUM-WSACCAR01.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)",,"21/03/2022 8:16:25 AM"
"AP-WSHKCOR02","AP-WSHKCOR02.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)",,"31/10/2021 5:30:06 PM"
"AP-WSHKMGR02","AP-WSHKMGR02.hiexsp.ae","Windows 10 Pro",,"10.0 (19042)","10.10.30.206","27/12/2022 10:29:02 AM"
"AP-WSGSTSERMGE","AP-WSGSTSERMGE.hiexsp.ae","Windows 10 Pro",,"10.0 (19043)",,"18/09/2021 1:51:07 AM"
